POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7905;MONJOLOS;MG;Estadual;Urbana;19;472.64;513.38;442.86;424.99;389.47;448.67
7906;ABAETETUBA;PA;Municipal;Rural;27;463.65;501.38;448.76;419.14;410.37;448.66
7907;FLORA RICA;SP;Estadual;Urbana;11;469.39;483.4;449.24;421.27;420.0;448.66
7908;SAO JOAO DA BALIZA;RR;Estadual;Urbana;21;454.09;506.61;446.24;407.74;428.57;448.65
7909;CAMPO BELO DO SUL;SC;Municipal;Rural;6;490.93;524.72;447.73;436.47;343.33;448.64
7910;PIRAI DO NORTE;BA;Estadual;Urbana;23;472.17;509.74;458.03;420.61;382.61;448.63
7911;PIRAPEMAS;MA;Estadual;Urbana;40;446.94;518.21;438.08;429.33;410.5;448.61
7912;VIANA;MA;Estadual;Rural;7;445.41;498.24;437.59;413.23;448.57;448.61
7913;NOVA BANDEIRANTES;MT;Estadual;Rural;19;453.96;497.08;452.31;442.82;396.84;448.6
7914;CAETANOS;BA;Estadual;Urbana;24;487.52;512.06;455.0;406.76;381.67;448.6
7915;MONTE SANTO;BA;Municipal;Urbana;41;469.95;511.67;432.12;413.15;416.1;448.6
7916;LUISLANDIA;MG;Municipal;Rural;1;560.5;535.6;501.6;385.3;260.0;448.6
7917;CODO;MA;Estadual;Urbana;342;470.87;507.13;444.82;410.44;409.65;448.58
7918;MIRANORTE;TO;Estadual;Urbana;80;454.18;505.81;450.19;434.73;398.0;448.58
7919;ALCANTARA;MA;Estadual;Urbana;44;471.08;488.33;436.81;408.91;437.73;448.57
7920;MARECHAL DEODORO;AL;Estadual;Urbana;78;458.99;496.24;434.64;412.67;440.26;448.56
7921;OBIDOS;PA;Privada;Rural;2;436.85;520.45;459.45;496.05;330.0;448.56
7922;SANTO ANTONIO DO LEVERGER;MT;Estadual;Urbana;35;462.48;498.24;455.13;418.35;408.57;448.55
7923;GLORIA D OESTE;MT;Estadual;Rural;3;474.03;531.9;456.43;400.37;380.0;448.55
7924;VITORIA DO MEARIM;MA;Estadual;Urbana;105;459.03;490.61;442.96;412.55;437.52;448.54
7925;PAJEU DO PIAUI;PI;Estadual;Urbana;22;458.25;499.67;461.12;444.51;379.09;448.53
7926;CAXINGO;PI;Estadual;Urbana;31;465.66;487.34;454.52;423.47;411.61;448.52
7927;CARNAUBAIS;RN;Estadual;Urbana;40;479.61;508.29;440.85;413.22;400.5;448.5
7928;FORTALEZA DO TABOCAO;TO;Estadual;Urbana;29;474.78;500.75;436.05;428.11;402.76;448.49
7929;PALESTINA DE GOIAS;GO;Estadual;Urbana;7;475.1;524.46;439.31;432.06;371.43;448.47
7930;ALTO LONGA;PI;Estadual;Urbana;51;470.61;491.55;454.06;431.13;394.9;448.45
7931;SANTA CECILIA;PB;Estadual;Urbana;17;485.22;510.72;441.49;398.86;405.88;448.44
7932;LARANJEIRAS;SE;Estadual;Urbana;77;463.8;500.71;444.13;410.09;423.38;448.42
7933;CANAA DOS CARAJAS;PA;Estadual;Urbana;119;468.78;507.48;444.18;419.28;402.18;448.38
7934;LAGO DOS RODRIGUES;MA;Estadual;Urbana;47;467.89;502.23;441.07;416.19;414.47;448.37
7935;CAAPORA;PB;Estadual;Urbana;78;468.17;503.91;438.98;416.64;414.1;448.36
7936;URUCARA;AM;Estadual;Urbana;125;447.67;495.11;437.15;413.56;448.32;448.36
7937;OLHO D AGUA DO CASADO;AL;Estadual;Urbana;23;453.4;520.32;431.26;398.51;438.26;448.35
