POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
216;São Gabriel do Oeste;MS;Privada;12;564.17;572.78;571.36;671.91;746.67;625.38
217;Oliveira;MG;Privada;49;553.48;577.16;558.35;640.07;797.55;625.32
218;Patrocínio;MG;Federal;62;556.76;575.87;546.33;623.15;822.9;625.0
219;Patos de Minas;MG;Privada;232;560.33;581.55;556.27;633.02;792.84;624.8
220;Carlos Barbosa;RS;Privada;15;582.77;603.6;548.14;649.12;740.0;624.73
221;Curvelo;MG;Federal;79;563.32;603.37;565.48;643.55;747.59;624.66
222;São José dos Campos;SP;Privada;1615;566.42;592.78;566.81;650.34;746.84;624.64
223;Bom Despacho;MG;Privada;38;560.25;580.7;565.49;649.5;766.84;624.56
224;Ipatinga;MG;Federal;70;570.03;592.92;565.36;653.57;740.86;624.55
225;Ipuiúna;MG;Privada;6;534.05;569.88;548.97;652.47;816.67;624.41
226;Caratinga;MG;Privada;52;566.97;583.17;546.12;644.85;780.77;624.38
227;Brusque;SC;Privada;93;564.74;592.04;563.17;643.38;757.85;624.24
228;Niterói;RJ;Federal;178;576.84;602.46;550.26;629.37;762.13;624.21
229;Agudos;SP;Privada;27;576.23;589.24;546.39;649.89;759.26;624.2
230;São João da Boa Vista;SP;Privada;212;559.51;589.38;564.15;640.56;766.51;624.02
231;Porto Alegre;RS;Federal;202;575.32;601.96;574.33;651.93;716.53;624.02
232;Juiz de Fora;MG;Federal;263;567.29;598.28;564.12;646.67;741.9;623.65
233;Presidente Bernardes;SP;Privada;16;566.87;586.43;556.66;626.96;781.25;623.64
234;Montes Claros;MG;Privada;681;555.83;581.96;553.96;620.09;805.43;623.45
235;Adamantina;SP;Privada;56;551.35;586.75;576.16;657.9;745.0;623.43
236;Itamonte;MG;Municipal;1;602.1;637.1;583.8;672.7;620.0;623.14
237;Juiz de Fora;MG;Privada;1133;564.95;590.48;553.96;636.02;769.51;622.99
238;Cláudio;MG;Privada;14;560.26;607.49;561.89;621.64;762.86;622.83
239;Nova Friburgo;RJ;Privada;367;558.16;584.51;545.88;627.0;797.55;622.62
240;Areado;MG;Privada;17;556.11;574.56;558.91;642.82;780.0;622.48
241;Serafina Corrêa;RS;Privada;6;562.18;593.9;569.17;646.88;740.0;622.43
242;Brejo de Areia;MA;Estadual;1;547.5;616.5;554.2;653.8;740.0;622.4
243;Crato;CE;Privada;92;556.41;582.02;554.28;621.72;797.39;622.37
244;Primavera do Leste;MT;Municipal;1;554.8;658.0;470.6;648.4;780.0;622.36
245;São Carlos;SP;Privada;467;558.25;586.03;565.1;638.33;764.03;622.35
246;Campinas;SP;Federal;45;571.13;606.26;554.59;658.21;721.33;622.31
247;Novo Horizonte;SP;Privada;42;536.89;565.72;554.61;618.36;834.76;622.07
248;Ouro Fino;MG;Privada;35;561.53;576.34;559.77;639.44;772.57;621.93
249;Limoeiro;PE;Privada;179;549.38;580.23;557.5;631.86;790.5;621.89
250;Feliz;RS;Federal;47;556.67;608.26;574.02;657.39;712.77;621.82
251;Vacaria;RS;Privada;43;571.25;585.8;560.33;652.4;738.6;621.68
252;Cidade Gaúcha;PR;Privada;3;584.4;620.03;608.57;621.83;673.33;621.63
253;Crateús;CE;Privada;43;546.54;573.91;541.25;616.23;828.84;621.35
254;Boa Esperança;MG;Privada;58;548.7;584.37;574.18;652.47;746.9;621.32
255;Barueri;SP;Privada;216;565.55;585.03;567.68;645.36;741.85;621.09
256;Sombrio;SC;Privada;7;540.07;579.19;542.24;612.5;831.43;621.09
257;Votuporanga;SP;Privada;133;556.41;578.7;561.33;635.97;771.28;620.74
258;Teresópolis;RJ;Privada;183;568.18;584.98;549.97;626.72;773.55;620.68
259;Resende;RJ;Privada;201;558.34;580.7;553.13;632.85;777.91;620.59
260;Itanhandu;MG;Privada;33;556.08;599.73;549.19;622.65;775.15;620.56
261;Passo Fundo;RS;Federal;17;568.93;602.19;559.34;679.26;692.94;620.53
262;Lambari;MG;Privada;6;541.92;569.22;547.08;627.35;816.67;620.45
263;Luziânia;GO;Federal;61;569.31;600.56;550.94;616.38;764.92;620.42
264;Goiânia;GO;Privada;3646;558.99;583.91;554.01;623.32;781.84;620.41
265;Macaúbas;BA;Privada;23;549.51;575.15;535.41;601.83;840.0;620.38
266;Lajeado;RS;Federal;15;575.78;592.26;573.21;648.43;712.0;620.34
267;Ibirubá;RS;Federal;71;566.12;602.57;554.13;632.48;745.92;620.25
268;Natal;RN;Federal;541;570.86;597.71;551.32;632.4;748.35;620.13
269;São Domingos do Maranhão;MA;Privada;8;556.28;582.71;523.88;675.21;762.5;620.12
270;Veranópolis;RS;Privada;49;536.77;564.59;546.8;614.37;837.55;620.02
271;Ibirité;MG;Privada;1;570.7;626.3;571.5;671.6;660.0;620.02
272;Bambuí;MG;Privada;21;546.22;584.8;549.51;634.03;784.76;619.87
273;Campo Grande;MS;Federal;274;564.72;590.25;568.46;655.06;720.51;619.8
274;Linhares;ES;Federal;100;557.79;590.01;558.31;636.65;756.0;619.75
275;Goianésia;GO;Privada;39;550.14;583.16;556.23;628.67;780.51;619.74
276;Eusébio;CE;Privada;24;554.21;585.5;545.3;644.39;769.17;619.71
277;Andradas;MG;Privada;42;546.22;577.8;566.6;611.61;796.19;619.68
278;Serra Negra;SP;Privada;22;562.85;596.76;583.9;640.86;713.64;619.6
279;Pereira Barreto;SP;Privada;19;560.51;595.16;572.55;631.83;737.89;619.59
280;Ariquemes;RO;Privada;20;561.1;581.0;544.36;605.38;806.0;619.57
281;Matão;SP;Municipal;44;580.6;598.36;582.19;645.03;691.36;619.51
